,Validation_Set,Model_Variant,Negative,Vector_size,Window,Min_count,Epochs,Sample,Softmax,Word_pairs_test_Pearson_coeff,Word_pairs_test_Pearson_p-val,Word_pairs_test_Spearman_coeff,Word_pairs_test_Spearman_p-val,Word_pairs_test_Out-of-vocab_ratio,Analogies_test
422,iDnes.cz 100% Corpus,1,15,200,20,0,25,0.01,0,0.5694153665180521,2.066287307253582e-29,0.5693252910769524,2.118051081692524e-29,7.64872521246459,0.0222440944881889
423,iDnes.cz 100% Corpus,1,10,300,12,8,25,0.1,0,0.5295765741371332,3.779909140636314e-22,0.5342651645262023,1.3907492037563657e-22,18.69688385269122,0.0262891809908999
424,iDnes.cz 100% Corpus,1,15,100,16,12,30,0.01,0,0.5013101942793632,1.5946312734211793e-18,0.5112623009192384,2.562592245196208e-19,23.79603399433428,0.0230978260869565
425,iDnes.cz 100% Corpus,0,5,300,4,12,25,0.01,0,0.1303895533057769,0.0325392087331584,0.0475783953095777,0.4370702612013544,23.79603399433428,0.0
426,iDnes.cz 100% Corpus,1,5,450,20,1,25,0.01,0,0.5514754210493651,2.465217520096608e-27,0.5400724648848697,4.446874513422732e-26,7.64872521246459,0.0125984251968503
427,iDnes.cz 100% Corpus,0,5,200,1,5,25,0.01,0,0.0424996402345603,0.4595968546678502,0.0105995439757035,0.8537324891991671,13.59773371104816,0.0
428,iDnes.cz 100% Corpus,0,10,50,1,8,20,0.01,0,0.0291660840528775,0.6226817735264566,-0.0137569044999875,0.8164986911402013,18.69688385269122,0.0
429,iDnes.cz 100% Corpus,0,15,300,5,2,20,0.1,0,0.0619701859585274,0.2675351845448125,-0.0048421259023415,0.9310280625726276,8.78186968838527,0.0
430,iDnes.cz 100% Corpus,1,10,200,8,12,25,0.0001,0,0.5706237242676832,1.2250592711701671e-24,0.5772857627564125,2.6424598920654867e-25,23.79603399433428,0.0380434782608695
432,iDnes.cz 100% Corpus,1,10,100,2,8,20,0.01,0,0.4469864860816209,1.6749801420743573e-15,0.455463414486164,4.184294658967175e-16,18.69688385269122,0.019211324570273
433,iDnes.cz 100% Corpus,1,10,250,2,0,30,0.01,0,0.4026318942422436,3.89835088987071e-14,0.4077637502642903,1.719861170513335e-14,7.64872521246459,0.0035433070866141
436,iDnes.cz 100% Corpus,0,5,300,1,8,25,0.001,0,0.0889400372731003,0.1328017894763796,-0.0057069795332598,0.9233131167457344,18.69688385269122,0.0
437,iDnes.cz 100% Corpus,1,10,450,12,12,30,0.01,0,0.5123491303796204,2.091172128541003e-19,0.5213291310716206,3.790319737311702e-20,23.79603399433428,0.0292119565217391
438,iDnes.cz 100% Corpus,1,5,200,2,8,25,0.1,0,0.4477559623508932,1.4791679594945826e-15,0.4591221251809357,2.2720244757925673e-16,18.69688385269122,0.0096056622851365
439,iDnes.cz 100% Corpus,0,10,158,4,1,30,0.1,0,0.0756817208087127,0.1728270508166401,0.0135084315346281,0.8080245233634342,7.64872521246459,0.0
440,iDnes.cz 100% Corpus,1,15,200,8,0,20,0.0001,0,0.5374969545531825,8.418063632107692e-26,0.5294683088958847,5.94420246562832e-25,7.64872521246459,0.0194881889763779
441,iDnes.cz 100% Corpus,1,15,200,8,12,25,0.0,0,0.5344068494900508,2.873396656305511e-21,0.5323000586224024,4.3869754318459764e-21,23.79603399433428,0.0271739130434782
443,iDnes.cz 100% Corpus,0,10,200,12,12,30,0.0,0,0.1069304571000313,0.0800069993128308,0.0534295977700014,0.3827429894629063,23.79603399433428,0.0
444,iDnes.cz 100% Corpus,0,10,50,12,1,30,0.01,0,0.0833002203045056,0.1333925491741424,0.0468428299425556,0.3992377049804001,7.64872521246459,0.0
445,iDnes.cz 100% Corpus,0,10,450,8,0,30,0.001,0,0.1260444334169305,0.0228379425911699,0.0649645048871327,0.2421236766637167,7.64872521246459,0.0
446,iDnes.cz 100% Corpus,1,10,100,4,8,25,0.01,0,0.4999191375433132,1.491794603121297e-19,0.5160589226360416,6.199181382292574e-21,18.69688385269122,0.0217391304347826
447,iDnes.cz 100% Corpus,0,10,158,2,12,30,0.0,0,0.0830767755345268,0.1742845259329768,0.0301539446995064,0.622457539315802,23.79603399433428,0.0
448,iDnes.cz 100% Corpus,1,15,250,5,1,20,1e-05,0,0.136423114191903,0.0136914519760361,0.1792502587587829,0.0011525048382318,7.64872521246459,0.0102362204724409
451,iDnes.cz 100% Corpus,0,15,250,8,5,30,0.01,0,0.1028697657763498,0.0728246011303394,0.0504018657166375,0.3803921008917293,13.59773371104816,0.0
452,iDnes.cz 100% Corpus,0,15,50,12,0,20,0.1,0,0.0833002203045056,0.1333925491741424,0.0468428299425556,0.3992377049804001,7.64872521246459,0.0
453,iDnes.cz 100% Corpus,0,5,50,1,1,30,0.01,0,0.0833002203045056,0.1333925491741424,0.0468428299425556,0.3992377049804001,7.64872521246459,0.0
454,iDnes.cz 100% Corpus,1,15,100,12,1,30,0.001,0,0.5691547060157452,2.2196150557062173e-29,0.5584431766949586,3.98316573895017e-28,7.64872521246459,0.0198818897637795
455,iDnes.cz 100% Corpus,0,10,200,2,2,20,0.0,0,0.1324476042686683,0.0174101441074306,0.1065280278733131,0.0561872933318611,8.78186968838527,0.0
458,iDnes.cz 100% Corpus,1,10,50,5,1,30,0.1,0,0.5395745022602437,5.033010515956357e-26,0.5448720529869541,1.3339920234366168e-26,7.64872521246459,0.0194881889763779
459,iDnes.cz 100% Corpus,1,10,300,8,0,25,0.001,0,0.5373234138123044,8.786216251113014e-26,0.5351199563709306,1.509745512117974e-25,7.64872521246459,0.0161417322834645
462,iDnes.cz 100% Corpus,1,10,300,1,8,20,0.0,0,0.3140650559563747,5.463386678801243e-08,0.3054143968978794,1.305199605826958e-07,18.69688385269122,0.0050556117290192
464,iDnes.cz 100% Corpus,0,5,50,1,1,30,0.1,0,0.0833002203045056,0.1333925491741424,0.0468428299425556,0.3992377049804001,7.64872521246459,0.0
465,iDnes.cz 100% Corpus,1,5,158,4,0,30,0.1,0,0.5115226174591236,3.9062654536860223e-23,0.5138889574462415,2.2814275176652546e-23,7.64872521246459,0.009251968503937
466,iDnes.cz 100% Corpus,0,10,158,12,2,30,0.1,0,0.0503922996113609,0.3674215775698601,0.0291591481147207,0.6021451126749604,8.78186968838527,0.0
467,iDnes.cz 100% Corpus,1,15,450,16,2,20,0.1,0,0.5668571845764727,9.087260142345523e-29,0.5575115897572739,1.0792963483375343e-27,8.78186968838527,0.0215484840892007
468,iDnes.cz 100% Corpus,1,10,200,12,2,30,1e-05,0,0.5508005038602816,6.08441050502687e-27,0.5337371343748383,4.163490154131665e-25,8.78186968838527,0.0152843898772237
469,iDnes.cz 100% Corpus,1,15,450,4,5,30,0.001,0,0.4812228107884763,4.390378168085732e-19,0.4991849758158178,1.263552662514328e-20,13.59773371104816,0.0091813312930374
471,iDnes.cz 100% Corpus,0,10,50,2,12,20,0.001,0,0.0595326702336432,0.3306902599804178,0.0539699601086972,0.3779423805645281,23.79603399433428,0.0
472,iDnes.cz 100% Corpus,1,5,450,1,5,30,0.001,0,0.3049775153857184,5.499875292088242e-08,0.3019770363695328,7.52247015394148e-08,13.59773371104816,0.0019127773527161
474,iDnes.cz 100% Corpus,1,5,50,5,5,30,0.0,0,0.520590350882997,1.388491634311803e-22,0.5378472364743325,2.878267635564393e-24,13.59773371104816,0.0283091048201989
475,iDnes.cz 100% Corpus,0,10,300,4,2,25,0.001,0,0.0619701859585274,0.2675351845448125,-0.0048421259023415,0.9310280625726276,8.78186968838527,0.0
476,iDnes.cz 100% Corpus,0,5,450,12,8,25,0.1,0,0.0767074011263325,0.1950635503624387,0.0053638247043087,0.9279113189880518,18.69688385269122,0.0
479,iDnes.cz 100% Corpus,1,15,158,20,12,30,0.001,0,0.5038837609940071,9.995853190718382e-19,0.509358548606754,3.652369443142679e-19,23.79603399433428,0.0217391304347826
481,iDnes.cz 100% Corpus,0,15,50,2,12,25,0.01,0,0.0595326702336432,0.3306902599804178,0.0539699601086972,0.3779423805645281,23.79603399433428,0.0
482,iDnes.cz 100% Corpus,0,5,158,20,12,25,1e-05,0,0.0830767755345268,0.1742845259329768,0.0301539446995064,0.622457539315802,23.79603399433428,0.0
483,iDnes.cz 100% Corpus,0,15,450,1,8,20,1e-05,0,0.0767074011263325,0.1950635503624387,0.0053638247043087,0.9279113189880518,18.69688385269122,0.0
484,iDnes.cz 100% Corpus,1,5,200,8,5,20,0.01,0,0.5512185215338963,1.220620562194282e-25,0.5425724312110375,9.57394255968204e-25,13.59773371104816,0.0252486610558531
485,iDnes.cz 100% Corpus,0,10,100,20,12,30,0.0001,0,0.097641017029979,0.1100887699542313,0.0703377295453235,0.2502770105284103,23.79603399433428,0.0
486,iDnes.cz 100% Corpus,0,5,100,12,0,30,0.01,0,0.0540506376206531,0.3306167193936211,0.0076816962494066,0.8901092867469114,7.64872521246459,0.0
487,iDnes.cz 100% Corpus,1,5,100,4,1,30,0.01,0,0.5103996660444624,5.0345408616673973e-23,0.5164371691563545,1.2724879926612918e-23,7.64872521246459,0.009251968503937
488,iDnes.cz 100% Corpus,0,5,158,1,8,30,1e-05,0,0.0042934959489526,0.9422681983934234,-0.0757098032010714,0.2009519615011809,18.69688385269122,0.0
489,iDnes.cz 100% Corpus,0,10,300,2,8,20,0.1,0,0.0889400372731003,0.1328017894763796,-0.0057069795332598,0.9233131167457344,18.69688385269122,0.0
491,iDnes.cz 100% Corpus,1,10,100,20,8,25,0.1,0,0.5429159407870567,2.1089639674506576e-23,0.5635536322273805,1.8673713572384132e-25,18.69688385269122,0.0328614762386248
493,iDnes.cz 100% Corpus,0,10,50,2,5,30,0.01,0,0.0774376782276058,0.1773806233740311,0.071132325332181,0.2154412658337266,13.59773371104816,0.0
494,iDnes.cz 100% Corpus,0,15,200,12,2,30,0.1,0,0.1324476042686683,0.0174101441074306,0.1065280278733131,0.0561872933318611,8.78186968838527,0.0
495,iDnes.cz 100% Corpus,1,5,450,5,12,25,1e-05,0,0.4649934465880816,7.76543720929763e-16,0.4596587764489708,1.8144954195495417e-15,23.79603399433428,0.015625
498,iDnes.cz 100% Corpus,1,15,200,8,2,20,1e-05,0,0.3010081474771605,3.615487671685193e-08,0.3243072366036248,2.543006909792991e-09,8.78186968838527,0.0072663492858932
502,iDnes.cz 100% Corpus,1,10,100,8,1,25,0.0,0,0.5496442406091021,3.95218744598419e-27,0.5458759936749739,1.0344528813241484e-26,7.64872521246459,0.0244094488188976
504,iDnes.cz 100% Corpus,1,15,50,5,5,30,0.001,0,0.5227431381466202,8.664767108352025e-23,0.5271850959339107,3.240204487352781e-23,13.59773371104816,0.021805661820964
505,iDnes.cz 100% Corpus,0,10,450,1,2,25,0.0001,0,0.0729609533066252,0.191590982263554,-0.0015800753788882,0.9774681889383904,8.78186968838527,0.0
506,iDnes.cz 100% Corpus,1,5,100,8,12,25,0.1,0,0.5486678077802417,1.5135036312124228e-22,0.5509920334405266,9.242653059353296e-23,23.79603399433428,0.029891304347826
507,iDnes.cz 100% Corpus,0,15,158,12,2,25,1e-05,0,0.0503922996113609,0.3674215775698601,0.0291591481147207,0.6021451126749604,8.78186968838527,0.0
511,iDnes.cz 100% Corpus,0,10,200,16,12,20,0.0,0,0.1069304571000313,0.0800069993128308,0.0534295977700014,0.3827429894629063,23.79603399433428,0.0
514,iDnes.cz 100% Corpus,1,5,450,4,8,25,0.001,0,0.4915097528099202,7.3277347820876645e-19,0.5052091892978935,5.3578481841336204e-20,18.69688385269122,0.018705763397371
515,iDnes.cz 100% Corpus,1,10,50,16,12,20,0.0,0,0.5706210961760814,1.2257923636131979e-24,0.5687087050985634,1.8917283293765647e-24,23.79603399433428,0.0441576086956521
516,iDnes.cz 100% Corpus,1,10,200,20,1,20,0.0001,0,0.5720985978197357,9.853044196791776e-30,0.5626253681172447,1.3063310231298429e-28,7.64872521246459,0.0163385826771653
518,iDnes.cz 100% Corpus,1,5,50,5,3,25,0.001,0,0.5342524677562026,1.0172976616300096e-24,0.5365055584304613,5.957568995574207e-25,10.48158640226629,0.0296296296296296
519,iDnes.cz 100% Corpus,0,15,200,4,0,20,0.0001,0,0.0499266267853033,0.36889420143628,-0.002261594177135,0.9675531200432634,7.64872521246459,0.0
520,iDnes.cz 100% Corpus,0,5,250,5,1,20,0.001,0,0.1295483004409854,0.019286862952128,0.0572389933894823,0.3028447197835996,7.64872521246459,0.0
522,iDnes.cz 100% Corpus,1,10,158,8,1,25,0.0001,0,0.5679998739132431,3.045606863651453e-29,0.554916482168335,1.0074654601527555e-27,7.64872521246459,0.0194881889763779
523,iDnes.cz 100% Corpus,1,5,200,16,3,30,1e-05,0,0.550629209056486,1.896166086177937e-26,0.532615465626652,1.4969095687448524e-24,10.48158640226629,0.016
524,iDnes.cz 100% Corpus,1,5,450,12,8,20,0.01,0,0.5624873413572684,2.403418582895232e-25,0.5518234224827001,2.854163843299633e-24,18.69688385269122,0.0267947421638018
525,iDnes.cz 100% Corpus,1,10,158,4,2,25,0.1,0,0.4925940121664611,4.3650482293225816e-21,0.5045652263247329,3.3561839095997813e-22,8.78186968838527,0.0117764971185166
526,iDnes.cz 100% Corpus,0,5,300,4,12,30,0.01,0,0.1303895533057769,0.0325392087331584,0.0475783953095777,0.4370702612013544,23.79603399433428,0.0
528,iDnes.cz 100% Corpus,1,15,300,20,0,25,0.0001,0,0.5960311439028045,9.766436431117419e-33,0.591411120299393,3.8829991695815207e-32,7.64872521246459,0.0220472440944881
529,iDnes.cz 100% Corpus,1,10,300,1,12,25,0.0001,0,0.349319927136178,3.8817637898277824e-09,0.3469764292031483,5.005522454768597e-09,23.79603399433428,0.0040760869565217
530,iDnes.cz 100% Corpus,1,15,250,4,3,30,0.0001,0,0.5083084003203276,3.6463966585854383e-22,0.5313243457645997,2.027016315498155e-24,10.48158640226629,0.0142222222222222
534,iDnes.cz 100% Corpus,1,5,100,1,12,30,0.001,0,0.3184794038123886,9.35716884433304e-08,0.3025005706528248,4.253388567446021e-07,23.79603399433428,0.0081521739130434
535,iDnes.cz 100% Corpus,1,10,100,4,3,25,0.001,0,0.4985378464371178,2.9416638825159136e-21,0.5135972130135618,1.144859962736474e-22,10.48158640226629,0.0171851851851851
536,iDnes.cz 100% Corpus,1,5,300,1,12,20,0.0,0,0.3267776509012189,4.11288876885831e-08,0.3177792926606935,1.0017838881392349e-07,23.79603399433428,0.0081521739130434
537,iDnes.cz 100% Corpus,0,15,200,16,12,25,0.01,0,0.1069304571000313,0.0800069993128308,0.0534295977700014,0.3827429894629063,23.79603399433428,0.0
538,iDnes.cz 100% Corpus,1,5,300,12,1,20,0.1,0,0.5369001734617362,9.752014109803994e-26,0.5221599947619465,3.3680589290816916e-24,7.64872521246459,0.0112204724409448
541,iDnes.cz 100% Corpus,0,15,50,1,2,20,1e-05,0,0.1416429403095265,0.0109387571690379,0.1203801058963536,0.0308034646995239,8.78186968838527,0.0
542,iDnes.cz 100% Corpus,0,15,250,2,12,20,0.1,0,0.1528645041596007,0.012064251071165,0.0785300911400281,0.199150671582968,23.79603399433428,0.0
543,iDnes.cz 100% Corpus,1,10,50,16,12,25,1e-05,0,0.5823225159600788,8.094459266694837e-26,0.5550183956014189,3.897391996699288e-23,23.79603399433428,0.0373641304347826
544,iDnes.cz 100% Corpus,1,5,50,8,1,20,0.1,0,0.5180986477558596,8.673214028592484e-24,0.5157503261740037,1.490068556529245e-23,7.64872521246459,0.0163385826771653
546,iDnes.cz 100% Corpus,0,15,50,5,8,20,0.1,0,0.0291660840528775,0.6226817735264566,-0.0137569044999875,0.8164986911402013,18.69688385269122,0.0
548,iDnes.cz 100% Corpus,1,10,300,2,12,25,1e-05,0,0.4455295974746971,1.601303951211584e-14,0.4568145532321164,2.8357059236201024e-15,23.79603399433428,0.0264945652173913
549,iDnes.cz 100% Corpus,1,15,50,12,0,20,0.01,0,0.5482927414951615,5.588788081616411e-27,0.5428806239768555,2.203600978113768e-26,7.64872521246459,0.0196850393700787
550,iDnes.cz 100% Corpus,0,15,250,20,5,30,0.0001,0,0.1028697657763498,0.0728246011303394,0.0504018657166375,0.3803921008917293,13.59773371104816,0.0
551,iDnes.cz 100% Corpus,0,10,158,4,3,20,0.01,0,0.0931378075358092,0.098394612493522,0.0224253639073836,0.6912847603389536,10.48158640226629,0.0
552,iDnes.cz 100% Corpus,1,10,158,4,8,25,0.0001,0,0.5306096576873045,3.036561540632505e-22,0.5445402658135032,1.4709630524612582e-23,18.69688385269122,0.0298281092012133
554,iDnes.cz 100% Corpus,1,10,50,12,1,30,0.0001,0,0.5866955667995724,1.5528597564988941e-31,0.5691077734809279,2.2483918751408077e-29,7.64872521246459,0.0196850393700787
557,iDnes.cz 100% Corpus,0,5,200,20,12,25,0.1,0,0.1069304571000313,0.0800069993128308,0.0534295977700014,0.3827429894629063,23.79603399433428,0.0
558,iDnes.cz 100% Corpus,0,5,50,4,1,25,1e-05,0,0.0833002203045056,0.1333925491741424,0.0468428299425556,0.3992377049804001,7.64872521246459,0.0
559,iDnes.cz 100% Corpus,0,15,300,16,8,25,1e-05,0,0.0889400372731003,0.1328017894763796,-0.0057069795332598,0.9233131167457344,18.69688385269122,0.0
561,iDnes.cz 100% Corpus,0,5,158,2,1,25,0.01,0,0.0756817208087127,0.1728270508166401,0.0135084315346281,0.8080245233634342,7.64872521246459,0.0
562,iDnes.cz 100% Corpus,1,10,450,12,12,25,1e-05,0,0.5857643356397796,3.563818811375643e-26,0.5698381332839492,1.4645907158869103e-24,23.79603399433428,0.0400815217391304
563,iDnes.cz 100% Corpus,0,15,158,2,1,20,0.001,0,0.0756817208087127,0.1728270508166401,0.0135084315346281,0.8080245233634342,7.64872521246459,0.0
564,iDnes.cz 100% Corpus,0,10,250,5,1,25,1e-05,0,0.1295483004409854,0.019286862952128,0.0572389933894823,0.3028447197835996,7.64872521246459,0.0
565,iDnes.cz 100% Corpus,0,10,100,2,5,20,0.1,0,0.0621723801727753,0.2790823879748227,-0.024006628468973,0.6762422176566585,13.59773371104816,0.0
567,iDnes.cz 100% Corpus,1,15,100,1,1,20,0.1,0,0.341007028592095,2.5497109576342e-10,0.3296118947525844,1.062438899707417e-09,7.64872521246459,0.001771653543307
568,iDnes.cz 100% Corpus,0,15,300,1,2,25,0.001,0,0.0619701859585274,0.2675351845448125,-0.0048421259023415,0.9310280625726276,8.78186968838527,0.0
569,iDnes.cz 100% Corpus,0,10,450,5,1,30,0.0,0,0.1260444334169305,0.0228379425911699,0.0649645048871327,0.2421236766637167,7.64872521246459,0.0
570,iDnes.cz 100% Corpus,0,10,50,12,12,25,0.01,0,0.0595326702336432,0.3306902599804178,0.0539699601086972,0.3779423805645281,23.79603399433428,0.0
571,iDnes.cz 100% Corpus,0,5,300,12,3,20,0.0,0,0.1300240053319067,0.0207765432537697,0.1005042688258398,0.0744167514523903,10.48158640226629,0.0
573,iDnes.cz 100% Corpus,1,15,300,5,5,30,0.0001,0,0.5389007011562436,2.255306660397997e-24,0.5572544977606797,2.7959791211810625e-26,13.59773371104816,0.0256312165263963
574,iDnes.cz 100% Corpus,0,5,200,8,8,30,0.001,0,0.0556721725475257,0.3473409797874592,-0.0304620978262301,0.607302481233335,18.69688385269122,0.0
575,iDnes.cz 100% Corpus,1,5,50,20,8,20,0.0001,0,0.6033746826183884,7.544792736194036e-30,0.593407594720647,1.083472979073227e-28,18.69688385269122,0.0257836198179979
577,iDnes.cz 100% Corpus,1,15,450,8,12,30,0.001,0,0.5073342896805326,5.310788063394865e-19,0.5235004444280226,2.488929755900463e-20,23.79603399433428,0.0190217391304347
578,iDnes.cz 100% Corpus,1,10,450,12,2,20,0.1,0,0.5654038413148617,1.3421682011096096e-28,0.5566464301947205,1.3518314491619397e-27,8.78186968838527,0.0205462290152843
582,iDnes.cz 100% Corpus,1,15,250,1,5,25,1e-05,0,0.3849637972685588,3.265739571762432e-12,0.4164568483444613,3.1776972524973914e-14,13.59773371104816,0.0149196633511859
583,iDnes.cz 100% Corpus,0,5,100,20,5,30,0.01,0,0.0621723801727753,0.2790823879748227,-0.024006628468973,0.6762422176566585,13.59773371104816,0.0
585,iDnes.cz 100% Corpus,1,10,200,12,3,25,0.0001,0,0.5907298485228156,4.125094620862366e-31,0.5875234277011846,1.0286919356470963e-30,10.48158640226629,0.0248888888888888
586,iDnes.cz 100% Corpus,0,15,300,1,1,30,0.0001,0,0.1128938536330329,0.041646184196462,0.0598987348223975,0.2808936089211437,7.64872521246459,0.0
587,iDnes.cz 100% Corpus,0,15,200,20,0,30,1e-05,0,0.0499266267853033,0.36889420143628,-0.002261594177135,0.9675531200432634,7.64872521246459,0.0
590,iDnes.cz 100% Corpus,0,5,158,2,1,25,0.1,0,0.0756817208087127,0.1728270508166401,0.0135084315346281,0.8080245233634342,7.64872521246459,0.0
591,iDnes.cz 100% Corpus,0,5,50,12,0,25,1e-05,0,0.0833002203045056,0.1333925491741424,0.0468428299425556,0.3992377049804001,7.64872521246459,0.0
593,iDnes.cz 100% Corpus,0,5,200,5,8,25,0.0,0,0.0556721725475257,0.3473409797874592,-0.0304620978262301,0.607302481233335,18.69688385269122,0.0
595,iDnes.cz 100% Corpus,0,5,100,12,12,20,0.1,0,0.097641017029979,0.1100887699542313,0.0703377295453235,0.2502770105284103,23.79603399433428,0.0
597,iDnes.cz 100% Corpus,1,15,100,8,12,25,0.0001,0,0.5818048717463352,9.149681234056876e-26,0.5763289545993607,3.300781979724174e-25,23.79603399433428,0.0326086956521739
598,iDnes.cz 100% Corpus,0,10,300,20,0,20,0.1,0,0.1128938536330329,0.041646184196462,0.0598987348223975,0.2808936089211437,7.64872521246459,0.0
599,iDnes.cz 100% Corpus,1,15,200,8,0,30,0.0,0,0.5462089557169967,9.506043240162163e-27,0.5455750019696473,1.1165071415585295e-26,7.64872521246459,0.0210629921259842
600,iDnes.cz 100% Corpus,1,10,450,8,2,30,0.0001,0,0.571159066230899,2.83235868742845e-29,0.5615036523586439,3.786423188083988e-28,8.78186968838527,0.0253069406163868
601,iDnes.cz 100% Corpus,0,10,100,8,5,30,0.0001,0,0.0621723801727753,0.2790823879748227,-0.024006628468973,0.6762422176566585,13.59773371104816,0.0
603,iDnes.cz 100% Corpus,1,5,200,20,5,20,1e-05,0,0.4961751998486585,2.3235981453237152e-20,0.4927390099740034,4.6241846112547957e-20,13.59773371104816,0.01185921958684
606,iDnes.cz 100% Corpus,1,5,450,20,3,30,0.001,0,0.5667975026397232,2.980881026662349e-28,0.5618573339250297,1.086195020922053e-27,10.48158640226629,0.0231111111111111
608,iDnes.cz 100% Corpus,1,10,250,16,3,30,0.0001,0,0.6056166621518804,5.171027615753775e-33,0.6088970708490672,1.9094930722248706e-33,10.48158640226629,0.029037037037037
609,iDnes.cz 100% Corpus,0,10,158,4,8,30,0.1,0,0.0042934959489526,0.9422681983934234,-0.0757098032010714,0.2009519615011809,18.69688385269122,0.0
610,iDnes.cz 100% Corpus,1,10,100,5,2,20,0.1,0,0.5065826681067355,2.156408075377605e-22,0.515995971820503,2.6318560955917692e-23,8.78186968838527,0.022801302931596
611,iDnes.cz 100% Corpus,0,15,200,2,0,30,1e-05,0,0.0499266267853033,0.36889420143628,-0.002261594177135,0.9675531200432634,7.64872521246459,0.0
613,iDnes.cz 100% Corpus,1,10,200,8,1,25,0.1,0,0.5460075261153289,1.0004915391277074e-26,0.5409311052042076,3.5902403141258475e-26,7.64872521246459,0.0198818897637795
615,iDnes.cz 100% Corpus,0,15,200,8,8,20,0.1,0,0.0556721725475257,0.3473409797874592,-0.0304620978262301,0.607302481233335,18.69688385269122,0.0
618,iDnes.cz 100% Corpus,0,15,450,2,0,25,0.1,0,0.1260444334169305,0.0228379425911699,0.0649645048871327,0.2421236766637167,7.64872521246459,0.0
619,iDnes.cz 100% Corpus,0,15,100,8,8,20,0.01,0,-0.0618906722064453,0.29605960907587,-0.1237656927678623,0.0361143960349587,18.69688385269122,0.0
620,iDnes.cz 100% Corpus,0,10,158,2,1,30,1e-05,0,0.0756817208087127,0.1728270508166401,0.0135084315346281,0.8080245233634342,7.64872521246459,0.0
621,iDnes.cz 100% Corpus,0,15,158,16,3,25,1e-05,0,0.0931378075358092,0.098394612493522,0.0224253639073836,0.6912847603389536,10.48158640226629,0.0
624,iDnes.cz 100% Corpus,1,10,200,16,2,20,0.0001,0,0.5886429890914722,2.0696661046939063e-31,0.5738554495282996,1.3520825040611516e-29,8.78186968838527,0.0248058130794287
625,iDnes.cz 100% Corpus,1,15,50,4,1,25,0.0001,0,0.5312310628135882,3.887334546114592e-25,0.5364910445936412,1.0784895556293336e-25,7.64872521246459,0.0088582677165354
626,iDnes.cz 100% Corpus,0,10,158,4,3,25,1e-05,0,0.0931378075358092,0.098394612493522,0.0224253639073836,0.6912847603389536,10.48158640226629,0.0
629,iDnes.cz 100% Corpus,1,10,300,12,8,25,0.1,0,0.5295765741371332,3.779909140636314e-22,0.5342651645262023,1.3907492037563657e-22,18.69688385269122,0.0262891809908999
630,iDnes.cz 100% Corpus,1,15,100,16,12,30,0.01,0,0.5013101942793632,1.5946312734211793e-18,0.5112623009192384,2.562592245196208e-19,23.79603399433428,0.0230978260869565
633,iDnes.cz 100% Corpus,0,5,200,1,5,25,0.01,0,0.0424996402345603,0.4595968546678502,0.0105995439757035,0.8537324891991671,13.59773371104816,0.0
637,iDnes.cz 100% Corpus,0,10,50,8,12,30,1e-05,0,0.0595326702336432,0.3306902599804178,0.0539699601086972,0.3779423805645281,23.79603399433428,0.0
640,iDnes.cz 100% Corpus,0,10,250,20,0,25,0.0001,0,0.1295483004409854,0.019286862952128,0.0572389933894823,0.3028447197835996,7.64872521246459,0.0
642,iDnes.cz 100% Corpus,0,5,300,1,8,25,0.001,0,0.0889400372731003,0.1328017894763796,-0.0057069795332598,0.9233131167457344,18.69688385269122,0.0
643,iDnes.cz 100% Corpus,1,10,450,12,12,30,0.01,0,0.5123491303796204,2.091172128541003e-19,0.5213291310716206,3.790319737311702e-20,23.79603399433428,0.0292119565217391
644,iDnes.cz 100% Corpus,1,5,200,2,8,25,0.1,0,0.4477559623508932,1.4791679594945826e-15,0.4591221251809357,2.2720244757925673e-16,18.69688385269122,0.0096056622851365
645,iDnes.cz 100% Corpus,0,10,158,4,1,30,0.1,0,0.0756817208087127,0.1728270508166401,0.0135084315346281,0.8080245233634342,7.64872521246459,0.0
646,iDnes.cz 100% Corpus,1,15,200,8,0,20,0.0001,0,0.5374969545531825,8.418063632107692e-26,0.5294683088958847,5.94420246562832e-25,7.64872521246459,0.0194881889763779
647,iDnes.cz 100% Corpus,1,15,200,8,12,25,0.0,0,0.5344068494900508,2.873396656305511e-21,0.5323000586224024,4.3869754318459764e-21,23.79603399433428,0.0271739130434782
648,iDnes.cz 100% Corpus,1,5,100,20,3,20,0.001,0,0.5645061532859966,5.444775656307551e-28,0.5517571257199294,1.429641969646979e-26,10.48158640226629,0.0195555555555555
649,iDnes.cz 100% Corpus,0,10,200,12,12,30,0.0,0,0.1069304571000313,0.0800069993128308,0.0534295977700014,0.3827429894629063,23.79603399433428,0.0
653,iDnes.cz 100% Corpus,0,10,158,2,12,30,0.0,0,0.0830767755345268,0.1742845259329768,0.0301539446995064,0.622457539315802,23.79603399433428,0.0
656,iDnes.cz 100% Corpus,1,10,158,12,0,25,0.001,0,0.5598620798220966,2.733559532006316e-28,0.5494442520734493,4.160523206836119e-27,7.64872521246459,0.0214566929133858
657,iDnes.cz 100% Corpus,0,15,250,8,5,30,0.01,0,0.1028697657763498,0.0728246011303394,0.0504018657166375,0.3803921008917293,13.59773371104816,0.0
659,iDnes.cz 100% Corpus,0,5,50,1,1,30,0.01,0,0.0833002203045056,0.1333925491741424,0.0468428299425556,0.3992377049804001,7.64872521246459,0.0
