slug,score_tfidf_posts,score_tfidf_keywords,score_lda_posts,score_doc2vec_posts,rating_predicted,rating_actual
poptavka-po-it-specialistech-roste-firmy-hledaji-v-regionech-i-mimo-republiku,0.0,0.0,0.5326427221298218,0.19744253158569336,0.0804963999,4.0
dovolene-v-cizine-se-odkladaji-anglie-zprisnuje-za-vycestovani-bude-pokuta,0.0,0.0,0.49167779088020325,0.10663708299398422,0.3001219905,3.0
povinna-solidarita-v-eu-jihoevropske-staty-chteji-zpet-migracni-kvoty,0.0,0.0,0.47450971603393555,0.22173748910427094,0.408277207,3.0
cast-polske-cirkve-siri-dezinformace-o-covidu-i-ockovani-rika-analytik,0.0,0.0,0.4753599464893341,0.19972197711467743,0.7147907304,3.0
strelec-zabil-v-obchode-v-coloradu-deset-lidi-mezi-nimi-i-policistu,0.0,0.0,0.490926057100296,0.3514670431613922,-0.320373704,2.3333333333333335
ukoncete-krizi-a-rezignujte-vyzvala-caputova-matovice-po-demisi-ministryne,0.0,0.0,0.5025684237480164,0.23460376262664795,0.0396287431,3.5
bidenova-ostuda-snimky-ukazaly-podminky-v-jakych-usa-drzi-detske-migranty,0.0,0.0,0.512446403503418,0.20613601803779602,0.5672968352,4.166666666666667
leicester-ve-ctvrtfinale-anglickeho-poharu-zdolal-united-postoupily-i-city-a-chelsea,0.0,0.0,0.4341818690299988,0.23935143649578094,-1.2652302472,3.6666666666666665
klaus-mladsi-nebyl-lidr-trikoloru-mozna-prevezme-otec-mini-politologove,0.0,0.0,0.48535019159317017,0.20359162986278534,-0.5483321784,3.4
komentar-musime-porazit-pravicovy-virus-pise-ministr-hamacek,0.0,0.0,0.4759921729564667,0.15447163581848145,-0.1818186602,1.0
tricet-dnu-rozhodne-ne-rekl-bartos-opozici-svorne-vadi-uzavera-okresu,0.0,0.0,0.43604186177253723,0.19386854767799377,0.0323623065,2.75
okoli-ma-smulu-spojeni-s-prahou-do-jednoho-okresu-je-riziko-mini-hamacek,0.0,0.0,0.4787093997001648,0.1401110738515854,0.3994651598,2.3333333333333335
karantenu-zkontroluji-stovky-policistu-mini-hamacek-ceka-se-na-pozadavek,0.0,0.0,0.4602093994617462,0.1777813583612442,-0.4514479659,2.75
predsednictvo-trikolory-se-vyjadri-k-odchodu-vaclava-klause-ml-z-politiky,0.0,0.0,0.44236165285110474,0.19791743159294128,0.0396287431,3.5
