;Dominant_Topic;Topic_Keywords;Num_Documents;Perc_Documents
110.0;10.0;èlovìk, øíkat, ¾ena, let, dìlat, ¾ivot, jít, máma, øíct, nìjaký;;
111.0;6.0;zákon, soud, návrh, pøípad, rok, úøad, mìsíc, ministerstvo, rozhodnutí, konec;;
112.0;10.0;èlovìk, øíkat, ¾ena, let, dìlat, ¾ivot, jít, máma, øíct, nìjaký;;
113.0;11.0;nemocnice, kraj, pacient, stav, zdravotník, lù¾ko, pivo, lékaø, uvést, praze;;
114.0;0.0;pøe, cesta, dlouhý, pár, kilometr, zima, hodina, let, svìt, èas;;
115.0;6.0;zákon, soud, návrh, pøípad, rok, úøad, mìsíc, ministerstvo, rozhodnutí, konec;;
116.0;9.0;vláda, øíct, ministr, volba, uvést, strana, jednání, babi¹, pøedseda, blatný;;
117.0;9.0;vláda, øíct, ministr, volba, uvést, strana, jednání, babi¹, pøedseda, blatný;;
118.0;19.0;pøe, verze, elektrický, systém, pøípad, vysoký, jít, model, napøíklad, mo¾nost;;
119.0;15.0;dítì, ¹kola, test, rodiè, student, testování, zkou¹ka, dìtský, auto¹kola, uèitel;;
120.0;19.0;pøe, verze, elektrický, systém, pøípad, vysoký, jít, model, napøíklad, mo¾nost;;
121.0;5.0;americký, let, rok, uvést, ruský, usa, tesla, letadlo, armáda, letoun;;
122.0;9.0;vláda, øíct, ministr, volba, uvést, strana, jednání, babi¹, pøedseda, blatný;;
123.0;13.0;procent, poèet, èlovìk, týden, pandemie, vysoký, bøezen, pøípad, proslulý_párty, èesku;;
124.0;8.0;øidiè, vozidlo, mu¾, auto, silnice, policie, pøe, policista, nehoda, jízda;;
125.0;13.0;procent, poèet, èlovìk, týden, pandemie, vysoký, bøezen, pøípad, proslulý_párty, èesku;;
126.0;9.0;vláda, øíct, ministr, volba, uvést, strana, jednání, babi¹, pøedseda, blatný;;
127.0;17.0;vakcína, oèkování, èlovìk, dávka, milion, studie, oèkovat, vìdec, covidu, pøípad;;
128.0;9.0;vláda, øíct, ministr, volba, uvést, strana, jednání, babi¹, pøedseda, blatný;;
129.0;4.0;èlovìk, opatøení, mìsto, zákaz, obchod, obec, pondìlí, omezení, tarif, vláda;;
130.0;13.0;procent, poèet, èlovìk, týden, pandemie, vysoký, bøezen, pøípad, proslulý_párty, èesku;;
131.0;8.0;øidiè, vozidlo, mu¾, auto, silnice, policie, pøe, policista, nehoda, jízda;;
132.0;6.0;zákon, soud, návrh, pøípad, rok, úøad, mìsíc, ministerstvo, rozhodnutí, konec;;
133.0;9.0;vláda, øíct, ministr, volba, uvést, strana, jednání, babi¹, pøedseda, blatný;;
134.0;13.0;procent, poèet, èlovìk, týden, pandemie, vysoký, bøezen, pøípad, proslulý_párty, èesku;;
135.0;6.0;zákon, soud, návrh, pøípad, rok, úøad, mìsíc, ministerstvo, rozhodnutí, konec;;
136.0;17.0;vakcína, oèkování, èlovìk, dávka, milion, studie, oèkovat, vìdec, covidu, pøípad;;
137.0;13.0;procent, poèet, èlovìk, týden, pandemie, vysoký, bøezen, pøípad, proslulý_párty, èesku;;
138.0;3.0;èeský, hra, závod, rok, tým, sezona, skonèit, letos, soutì¾, bøezen;;
139.0;6.0;zákon, soud, návrh, pøípad, rok, úøad, mìsíc, ministerstvo, rozhodnutí, konec;;
140.0;9.0;vláda, øíct, ministr, volba, uvést, strana, jednání, babi¹, pøedseda, blatný;;
141.0;9.0;vláda, øíct, ministr, volba, uvést, strana, jednání, babi¹, pøedseda, blatný;;
142.0;5.0;americký, let, rok, uvést, ruský, usa, tesla, letadlo, armáda, letoun;;
